_id,productCode,productBrand,productCapacity,ci,qty,booked,available,status,pusrchaseInvoice,productId,bl,date,warehouse,createdAt,updatedAt,__v
64831d2099b3f5aff193028c,SMF95D31L,ROCKET,90 AH,,864,0,864,,,643bf047215409eb7cae6508,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:37:52.899Z,2023-06-09T12:37:52.899Z,0
64831d4799b3f5aff1930292,SMF60044,ROCKET,100 AH,,300,0,300,,,643bf0e4215409eb7cae650c,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:38:31.064Z,2023-06-09T12:38:31.064Z,0
64831d6599b3f5aff1930296,SMF1000RA,ROCKET,100 AH,,2518,0,2518,,,643bf129215409eb7cae650e,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:39:01.685Z,2023-06-09T12:39:01.685Z,0
64831da299b3f5aff193029e,SMF60033,ROCKET,100 AH,,1152,0,1152,,,643bf0a4215409eb7cae650a,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:40:02.098Z,2023-06-09T12:40:02.098Z,0
64831e5099b3f5aff19302b0,SMF60033,ROCKET,100 AH,,360,0,360,,,643bf0a4215409eb7cae650a,EPIRKRFGCL233581,2023-03-03T12:40:01.000Z,azal,2023-06-09T12:42:56.607Z,2023-06-09T12:42:56.607Z,0
64831e8799b3f5aff19302b4,SMFN150L,ROCKET,150 AH,,128,0,128,,,643bf173215409eb7cae6510,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:43:51.630Z,2023-06-09T12:43:51.630Z,0
64831ea399b3f5aff19302b8,SMFN170L,ROCKET,170 AH,,128,0,128,,,643bf200215409eb7cae6514,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:44:19.013Z,2023-06-09T12:44:19.013Z,0
64831eb399b3f5aff19302bc,SMF200L,ROCKET,200 AH,,0,0,0,,,643bf24b215409eb7cae6516,EPIRKRFGCL233581,2023-06-09T09:46:32.346Z,azal,2023-06-09T12:44:35.640Z,2023-06-09T12:45:06.947Z,0
64831ee899b3f5aff19302cc,SMF200L,ROCKET,200 AH,,64,0,64,,,643bf24b215409eb7cae6516,EPIRKRFGCL233581,2023-03-03T12:44:35.000Z,azal,2023-06-09T12:45:28.874Z,2023-06-09T12:45:28.874Z,0
648324c599b3f5aff19302f2,MF55559,KOREANA,55 AH,,396,0,396,,,64478b06e40eaab42e9aea08,KMTCPNC3959847A ,2023-02-09T12:21:32.000Z,azal,2023-06-09T13:10:29.746Z,2023-06-09T13:10:29.746Z,0
648324f199b3f5aff1930300,MF55559,KOREANA,55 AH,,1188,0,1188,,,64478b06e40eaab42e9aea08,    KMTCPNC3991021A  ,2023-05-05T13:10:29.000Z,azal,2023-06-09T13:11:13.495Z,2023-06-09T13:11:13.495Z,0
6483252199b3f5aff1930308,MF56638,KOREANA,66 AH,,78,0,78,,,64478b3be40eaab42e9aea0a,    KMTCPNC3991021A  ,2023-05-05T12:25:00.000Z,azal,2023-06-09T13:12:01.053Z,2023-06-09T13:12:01.053Z,0
6483255299b3f5aff193031e,MF210H52R,KOREANA,200 AH,,30,0,30,,,64478b6fe40eaab42e9aea0c,    KMTCPNC3991021A  ,2023-05-05T12:26:32.000Z,azal,2023-06-09T13:12:50.447Z,2023-06-09T13:12:50.447Z,0
648325a999b3f5aff1930338,SMF160G51R,KOREANA,150 AH,,40,0,40,,,643aebac215409eb7cae6485,KMTCPNC3959847A,2023-02-09T07:02:30.000Z,azal,2023-06-09T13:14:17.925Z,2023-06-09T13:14:17.925Z,0
648325d099b3f5aff193034e,SMF160G51R,KOREANA,150 AH,,80,0,80,,,643aebac215409eb7cae6485,    KMTCPNC3991021A,2023-05-05T13:14:37.000Z,azal,2023-06-09T13:14:56.797Z,2023-06-09T13:14:56.797Z,0
648325f599b3f5aff1930364,MF1000RA,MEGAPOWER,100 AH,,299,0,299,,,644d2e92f6ac4351d41d5c34,EPIRKRFCGCL232666,2023-01-19T13:14:26.000Z,azal,2023-06-09T13:15:33.392Z,2023-06-09T13:15:33.392Z,0
6483263f99b3f5aff1930378,MF50B24LS,KOREANA,40 AH,,336,0,336,,,64478ad6e40eaab42e9aea06,    KMTCPNC3991021A  ,2023-05-05T13:16:18.000Z,azal,2023-06-09T13:16:47.096Z,2023-06-09T13:16:47.096Z,0
6483267a99b3f5aff1930384,-IT850-12(12V-230AH),INDEX,230 AH,,298,0,298,,,6418906a246d770f4e65bcf9,HALJEA2200814,2023-01-27T13:14:26.000Z,our wh 1 (old),2023-06-09T13:17:46.778Z,2023-06-09T13:17:46.778Z,0
6483269299b3f5aff193038a,IT750,INDEX,200 Ah,,144,0,144,,,6408c69baa7dd4c7ad6b0ac0,HALJEA2200814,2023-01-27T13:14:26.000Z,our wh 1 (old),2023-06-09T13:18:10.333Z,2023-06-09T13:18:10.333Z,0
648326fe99b3f5aff1930392,MF1000R,VOLTEX,100 AH,,300,0,300,,,643bdf1b215409eb7cae64df,SEL1473709,2022-12-31T13:18:33.000Z,azal,2023-06-09T13:19:58.150Z,2023-06-09T13:19:58.150Z,0
6483270d99b3f5aff1930396,MF60044,VOLTEX,100 AH,,150,0,150,,,643bdee8215409eb7cae64dd,SEL1473709,2022-12-31T13:18:33.000Z,azal,2023-06-09T13:20:13.206Z,2023-06-09T13:20:13.206Z,0
6483273799b3f5aff193039c,MF1000RA,VOLTEX,100 AH,,300,0,300,,,643bdf65215409eb7cae64e1,SEL1473709,2022-12-31T13:18:33.000Z,azal,2023-06-09T13:20:55.965Z,2023-06-09T13:20:55.965Z,0
6483275e99b3f5aff19303a1,MF95D31R,VOLTEX,90 AH,,648,0,648,,,643bde9c215409eb7cae64db,SEL1473709,2022-12-31T13:18:33.000Z,azal,2023-06-09T13:21:34.205Z,2023-06-09T13:21:34.205Z,0
648327af99b3f5aff19303b1,MF1000RA,VOLTEX,100 AH,,225,0,225,,,643bdf65215409eb7cae64e1,SEL1473706,2023-12-31T13:20:56.000Z,azal,2023-06-09T13:22:55.300Z,2023-06-09T13:22:55.300Z,0
6483280699b3f5aff19303d0,MF210H52R,VOLTEX,200 AH,,15,0,15,,,643be133215409eb7cae64e8,SEL1473706,2023-12-31T13:18:33.000Z,azal,2023-06-09T13:24:22.544Z,2023-06-09T13:24:22.544Z,0
6483285499b3f5aff19303d4,MF50B24LS,VOLTEX,40 AH,,336,0,336,,,643bdcd5215409eb7cae64d1,KMTCPNC3991021A,2023-05-05T13:20:51.000Z,azal,2023-06-09T13:25:40.221Z,2023-06-09T13:25:40.221Z,0
6483288e99b3f5aff19303e2,MF50B24LS,VOLTEX,40 AH,,336,0,336,,,643bdcd5215409eb7cae64d1,SEL1473706,2022-12-30T20:00:00.000Z,azal,2023-06-09T13:26:38.177Z,2023-06-09T13:26:38.177Z,0
